iter	Passed	Remaining
0	265	1329618
1	323	809093
2	373	622863
3	426	532329
4	453	453257
5	484	403672
6	508	362760
7	557	347675
8	606	336609
9	655	327313
10	704	319655
11	727	302219
12	771	296062
13	819	291907
14	871	289656
15	897	279592
16	922	270362
17	946	262107
18	971	254804
19	1002	249604
20	1027	243664
21	1072	242594
22	1108	239853
23	1154	239404
24	1202	239227
25	1250	239183
26	1297	238984
27	1345	238917
28	1386	237606
29	1426	236287
30	1451	232607
31	1498	232611
32	1546	232773
33	1570	229397
34	1597	226569
35	1611	222262
36	1659	222551
37	1684	219932
38	1719	218731
39	1766	219026
40	1793	216960
41	1827	215789
42	1876	216367
43	1925	216915
44	1973	217344
45	2000	215427
46	2047	215773
47	2093	215985
48	2124	214638
49	2169	214745
50	2207	214216
51	2253	214389
52	2298	214527
53	2316	212211
54	2333	209840
55	2363	208686
56	2412	209193
57	2464	209950
58	2514	210585
59	2565	211190
60	2605	210946
61	2631	209571
62	2679	210001
63	2694	207851
64	2740	208037
65	2763	206596
66	2812	207101
67	2862	207628
68	2891	206621
69	2913	205209
70	2961	205626
71	3010	206057
72	3060	206572
73	3110	207032
74	3159	207482
75	3206	207757
76	3255	208157
77	3305	208584
78	3355	208988
79	3404	209395
80	3451	209631
81	3498	209806
82	3544	209987
83	3564	208586
84	3609	208720
85	3655	208867
86	3700	208995
87	3749	209266
88	3799	209649
89	3846	209858
90	3883	209502
91	3923	209285
92	3970	209486
93	4017	209658
94	4062	209770
95	4088	208840
96	4134	208996
97	4182	209190
98	4232	209553
99	4254	208478
100	4298	208490
101	4343	208581
102	4382	208340
103	4426	208406
104	4472	208490
105	4494	207504
106	4540	207621
107	4588	207828
108	4634	207964
109	4645	206529
110	4675	205920
111	4710	205574
112	4762	205980
113	4830	207032
114	4878	207230
115	4890	205905
116	4940	206174
117	4980	206050
118	5002	205177
119	5049	205357
120	5097	205540
121	5145	205721
122	5191	205863
123	5221	205327
124	5231	204045
125	5268	203806
126	5305	203590
127	5353	203760
128	5390	203547
129	5436	203675
130	5484	203852
131	5503	202947
132	5539	202707
133	5565	202102
134	5610	202177
135	5656	202317
136	5702	202402
137	5753	202691
138	5798	202794
139	5843	202869
140	5889	202974
141	5936	203086
142	5982	203200
143	6028	203290
144	6073	203366
145	6119	203450
146	6158	203311
147	6203	203376
148	6248	203446
149	6294	203521
150	6340	203603
151	6388	203766
152	6433	203827
153	6479	203892
154	6525	203974
155	6572	204082
156	6621	204255
157	6671	204461
158	6717	204536
159	6763	204607
160	6810	204695
161	6855	204740
162	6901	204809
163	6950	204959
164	6997	205042
165	7042	205076
166	7089	205161
167	7135	205234
168	7183	205332
169	7227	205353
170	7276	205487
171	7321	205524
172	7369	205633
173	7416	205693
174	7462	205755
175	7507	205779
176	7554	205859
177	7601	205915
178	7646	205952
179	7693	206007
180	7738	206036
181	7785	206115
182	7831	206147
183	7878	206217
184	7925	206281
185	7972	206347
186	8019	206405
187	8064	206423
188	8110	206463
189	8158	206536
190	8204	206583
191	8252	206655
192	8281	206277
193	8328	206317
194	8381	206524
195	8411	206163
196	8455	206152
197	8485	205792
198	8530	205797
199	8578	205886
200	8624	205920
201	8670	205947
202	8717	205990
203	8763	206030
204	8808	206030
205	8852	206023
206	8889	205826
207	8934	205847
208	8982	205901
209	9026	205892
210	9071	205882
211	9115	205882
212	9162	205928
213	9209	205958
214	9254	205963
215	9299	205962
216	9345	205987
217	9392	206025
218	9438	206058
219	9485	206087
220	9532	206127
221	9578	206144
222	9622	206136
223	9667	206130
224	9714	206169
225	9763	206243
226	9808	206241
227	9854	206252
228	9900	206268
229	9946	206280
230	9992	206290
231	10036	206275
232	10081	206269
233	10127	206275
234	10176	206337
235	10223	206371
236	10268	206360
237	10314	206370
238	10360	206393
239	10405	206380
240	10451	206386
241	10497	206401
242	10545	206430
243	10591	206446
244	10636	206432
245	10683	206452
246	10729	206466
247	10775	206467
248	10819	206445
249	10866	206461
250	10911	206443
251	10958	206462
252	11002	206445
253	11047	206420
254	11092	206404
255	11138	206409
256	11183	206394
257	11228	206383
258	11273	206365
259	11318	206353
260	11368	206416
261	11412	206390
262	11459	206405
263	11505	206394
264	11552	206412
265	11597	206402
266	11642	206380
267	11687	206366
268	11734	206375
269	11781	206402
270	11832	206485
271	11879	206498
272	11906	206152
273	11952	206151
274	11997	206131
275	12043	206128
276	12089	206127
277	12138	206188
278	12181	206121
279	12229	206146
280	12274	206126
281	12321	206144
282	12369	206170
283	12415	206170
284	12462	206181
285	12509	206181
286	12562	206298
287	12608	206282
288	12644	206112
289	12689	206098
290	12738	206134
291	12786	206159
292	12833	206168
293	12880	206167
294	12926	206160
295	12973	206168
296	13020	206187
297	13072	206262
298	13124	206342
299	13170	206344
300	13215	206316
301	13253	206171
302	13299	206159
303	13348	206206
304	13395	206202
305	13439	206162
306	13486	206168
307	13533	206173
308	13580	206168
309	13628	206190
310	13683	206307
311	13733	206352
312	13779	206340
313	13824	206311
314	13870	206293
315	13916	206282
316	13962	206269
317	14009	206263
318	14056	206267
319	14103	206259
320	14157	206366
321	14203	206344
322	14248	206316
323	14294	206306
324	14341	206291
325	14386	206260
326	14435	206292
327	14483	206300
328	14534	206347
329	14580	206336
330	14625	206305
331	14671	206279
332	14716	206254
333	14764	206257
334	14810	206237
335	14856	206215
336	14901	206192
337	14953	206251
338	15002	206270
339	15053	206318
340	15100	206315
341	15147	206312
342	15193	206282
343	15237	206239
344	15283	206218
345	15331	206222
346	15376	206187
347	15422	206162
348	15452	205926
349	15500	205938
350	15550	205965
351	15600	205997
352	15626	205707
353	15671	205672
354	15718	205665
355	15744	205386
356	15791	205371
357	15841	205408
358	15889	205415
359	15941	205462
360	15986	205435
361	16011	205135
362	16054	205079
363	16100	205059
364	16136	204915
365	16184	204918
366	16239	205001
367	16285	204987
368	16315	204765
369	16360	204723
370	16407	204715
371	16454	204709
372	16501	204701
373	16540	204584
374	16588	204591
375	16633	204554
376	16679	204534
377	16726	204523
378	16772	204501
379	16818	204477
380	16864	204454
381	16910	204437
382	16958	204427
383	17002	204389
384	17048	204361
385	17095	204349
386	17142	204332
387	17187	204298
388	17232	204260
389	17278	204237
390	17326	204244
391	17372	204218
392	17417	204176
393	17447	203965
394	17492	203934
395	17540	203927
396	17584	203887
397	17630	203863
398	17661	203657
399	17708	203647
400	17754	203622
401	17799	203589
402	17837	203470
403	17882	203439
404	17930	203429
405	17975	203401
406	18021	203367
407	18065	203326
408	18114	203330
409	18160	203312
410	18205	203267
411	18250	203240
412	18296	203212
413	18342	203190
414	18387	203149
415	18432	203107
416	18476	203060
417	18524	203063
418	18569	203021
419	18614	202988
420	18660	202963
421	18707	202943
422	18752	202909
423	18798	202879
424	18843	202848
425	18889	202823
426	18937	202817
427	18983	202781
428	19028	202750
429	19077	202757
430	19125	202750
431	19172	202734
432	19219	202714
433	19265	202691
434	19314	202695
435	19362	202687
436	19412	202693
437	19459	202675
438	19505	202655
439	19552	202634
440	19596	202588
441	19642	202553
442	19688	202525
443	19734	202503
444	19787	202541
445	19834	202525
446	19882	202515
447	19944	202652
448	19991	202627
449	20037	202602
450	20083	202572
451	20131	202566
452	20177	202533
453	20223	202505
454	20270	202485
455	20317	202466
456	20365	202451
457	20411	202425
458	20457	202393
459	20505	202381
460	20553	202373
461	20600	202350
462	20648	202336
463	20696	202326
464	20743	202305
465	20789	202275
466	20837	202263
467	20887	202266
468	20941	202314
469	20989	202300
470	21036	202278
471	21086	202283
472	21132	202253
473	21158	202036
474	21204	201999
475	21250	201969
476	21297	201948
477	21325	201743
478	21372	201722
479	21418	201693
480	21464	201662
481	21514	201669
482	21565	201677
483	21617	201705
484	21668	201714
485	21723	201767
486	21771	201753
487	21820	201748
488	21870	201756
489	21920	201753
490	21968	201739
491	22016	201731
492	22065	201719
493	22118	201752
494	22165	201727
495	22213	201710
496	22260	201692
497	22310	201688
498	22358	201673
499	22404	201644
500	22451	201619
501	22501	201612
502	22548	201590
503	22598	201589
504	22649	201600
505	22696	201576
506	22742	201546
507	22789	201518
508	22835	201485
509	22884	201476
510	22936	201494
511	22985	201481
512	23033	201465
513	23082	201457
514	23132	201456
515	23179	201424
516	23226	201397
517	23274	201380
518	23322	201367
519	23368	201332
520	23416	201307
521	23463	201286
522	23511	201266
523	23558	201240
524	23610	201253
525	23659	201240
526	23713	201273
527	23760	201243
528	23808	201227
529	23857	201209
530	23905	201194
531	23951	201160
532	23999	201137
533	24046	201107
534	24093	201076
535	24142	201065
536	24188	201026
537	24234	200996
538	24282	200976
539	24329	200939
540	24374	200899
541	24419	200856
542	24465	200815
543	24512	200787
544	24559	200757
545	24604	200712
546	24649	200663
547	24696	200633
548	24741	200594
549	24787	200552
550	24833	200516
551	24900	200646
552	24949	200637
553	24976	200441
554	25021	200400
555	25071	200388
556	25119	200366
557	25167	200345
558	25220	200367
559	25270	200362
560	25322	200365
561	25371	200356
562	25419	200332
563	25466	200303
564	25514	200274
565	25561	200246
566	25608	200217
567	25655	200185
568	25701	200143
569	25748	200112
570	25796	200095
571	25843	200062
572	25892	200042
573	25938	200008
574	25985	199972
575	26029	199920
576	26079	199913
577	26127	199890
578	26176	199873
579	26232	199906
580	26279	199881
581	26325	199842
582	26372	199807
583	26426	199830
584	26485	199889
585	26532	199851
586	26578	199812
587	26608	199652
588	26653	199605
589	26699	199564
590	26744	199519
591	26789	199476
592	26835	199430
593	26881	199393
594	26926	199345
595	26973	199312
596	27018	199267
597	27063	199217
598	27107	199165
599	27152	199118
600	27197	199071
601	27242	199021
602	27287	198974
603	27332	198932
604	27380	198902
605	27426	198865
606	27472	198823
607	27517	198778
608	27562	198727
609	27608	198689
610	27653	198644
611	27698	198598
612	27747	198576
613	27793	198541
614	27840	198505
615	27891	198501
616	27937	198463
617	27984	198427
618	28035	198424
619	28081	198385
620	28140	198431
621	28198	198477
622	28251	198484
623	28299	198459
624	28347	198430
625	28394	198398
626	28440	198354
627	28486	198313
628	28533	198282
629	28580	198247
630	28626	198205
631	28671	198162
632	28716	198113
633	28761	198064
634	28808	198027
635	28851	197969
636	28898	197931
637	28929	197793
638	28977	197761
639	29027	197748
640	29075	197725
641	29129	197734
642	29179	197723
643	29230	197717
644	29265	197601
645	29316	197591
646	29371	197610
647	29418	197574
648	29465	197538
649	29512	197504
650	29557	197460
651	29607	197440
652	29656	197419
653	29705	197402
654	29758	197407
655	29804	197366
656	29852	197332
657	29898	197294
658	29945	197259
659	29992	197223
660	30039	197185
661	30085	197144
662	30132	197111
663	30183	197104
664	30233	197085
665	30279	197041
666	30324	196992
667	30371	196958
668	30431	197005
669	30513	197197
670	30566	197203
671	30625	197239
672	30674	197216
673	30722	197188
674	30772	197169
675	30822	197152
676	30871	197132
677	30919	197101
678	30969	197085
679	31018	197061
680	31068	197043
681	31116	197013
682	31165	196988
683	31214	196962
684	31262	196930
685	31310	196899
686	31358	196868
687	31405	196833
688	31453	196799
689	31501	196769
690	31548	196735
691	31594	196690
692	31643	196663
693	31688	196615
694	31735	196577
695	31779	196523
696	31824	196469
697	31869	196423
698	31901	196292
699	31948	196257
700	31996	196224
701	32050	196229
702	32096	196187
703	32144	196154
704	32190	196112
705	32237	196073
706	32284	196033
707	32330	195993
708	32378	195962
709	32428	195940
710	32476	195908
711	32525	195881
712	32572	195847
713	32619	195808
714	32664	195761
715	32712	195725
716	32758	195685
717	32804	195639
718	32852	195607
719	32898	195562
720	32944	195521
721	32991	195482
722	33038	195445
723	33085	195402
724	33131	195362
725	33178	195321
726	33224	195281
727	33271	195240
728	33315	195185
729	33360	195138
730	33414	195136
731	33461	195100
732	33506	195051
733	33553	195014
734	33599	194970
735	33647	194934
736	33692	194888
737	33737	194836
738	33784	194799
739	33831	194761
740	33877	194713
741	33922	194666
742	33966	194611
743	34013	194570
744	34059	194527
745	34102	194468
746	34147	194415
747	34194	194380
748	34240	194336
749	34285	194283
750	34330	194232
751	34375	194187
752	34421	194141
753	34466	194089
754	34511	194040
755	34557	193998
756	34605	193965
757	34651	193921
758	34698	193883
759	34759	193921
760	34804	193872
761	34851	193830
762	34896	193783
763	34940	193729
764	34988	193692
765	35035	193654
766	35081	193610
767	35125	193555
768	35170	193508
769	35216	193464
770	35262	193415
771	35306	193365
772	35358	193353
773	35407	193325
774	35455	193288
775	35501	193242
776	35550	193219
777	35597	193179
778	35637	193102
779	35686	193071
780	35733	193034
781	35781	193001
782	35829	192968
783	35875	192922
784	35921	192879
785	35966	192829
786	36014	192792
787	36061	192757
788	36107	192711
789	36153	192665
790	36202	192635
791	36248	192592
792	36294	192549
793	36340	192505
794	36370	192375
795	36416	192330
796	36461	192282
797	36506	192231
798	36554	192196
799	36601	192158
800	36649	192122
801	36694	192075
802	36739	192022
803	36784	191973
804	36830	191929
805	36875	191882
806	36920	191833
807	36969	191804
808	37017	191766
809	37064	191726
810	37109	191679
811	37154	191627
812	37200	191585
813	37236	191490
814	37280	191435
815	37325	191387
816	37364	191303
817	37410	191260
818	37455	191209
819	37500	191161
820	37546	191114
821	37594	191081
822	37640	191035
823	37686	190993
824	37733	190954
825	37780	190915
826	37826	190868
827	37871	190821
828	37917	190778
829	37962	190725
830	38009	190686
831	38054	190640
832	38101	190601
833	38116	190399
834	38165	190369
835	38211	190327
836	38256	190275
837	38302	190230
838	38347	190183
839	38393	190138
840	38438	190091
841	38483	190040
842	38526	189984
843	38573	189942
844	38611	189859
845	38656	189810
846	38701	189762
847	38746	189712
848	38790	189659
849	38838	189621
850	38883	189571
851	38927	189521
852	38974	189481
853	39021	189440
854	39067	189396
855	39113	189353
856	39157	189300
857	39204	189260
858	39250	189214
859	39295	189167
860	39341	189120
861	39388	189081
862	39433	189032
863	39477	188981
864	39522	188932
865	39568	188884
866	39614	188843
867	39659	188793
868	39707	188757
869	39752	188710
870	39799	188670
871	39844	188623
872	39890	188576
873	39935	188527
874	39983	188492
875	40028	188446
876	40074	188398
877	40119	188352
878	40165	188307
879	40211	188262
880	40256	188215
881	40302	188168
882	40349	188129
883	40395	188086
884	40440	188037
885	40485	187987
886	40530	187938
887	40577	187901
888	40624	187860
889	40670	187813
890	40715	187765
891	40761	187721
892	40808	187681
893	40854	187640
894	40900	187592
895	40946	187551
896	40995	187518
897	41039	187467
898	41084	187418
899	41131	187374
900	41177	187334
901	41222	187285
902	41268	187237
903	41313	187189
904	41351	187111
905	41398	187068
906	41444	187025
907	41489	186975
908	41534	186927
909	41580	186885
910	41627	186842
911	41672	186797
912	41718	186751
913	41766	186714
914	41812	186672
915	41858	186627
916	41903	186578
917	41948	186530
918	41994	186486
919	42039	186436
920	42084	186388
921	42131	186347
922	42177	186304
923	42224	186260
924	42267	186207
925	42312	186158
926	42357	186109
927	42404	186069
928	42449	186018
929	42493	185965
930	42540	185925
931	42586	185882
932	42632	185837
933	42677	185790
934	42723	185744
935	42770	185705
936	42816	185658
937	42861	185609
938	42904	185555
939	42950	185511
940	42997	185468
941	43040	185413
942	43085	185363
943	43131	185317
944	43177	185275
945	43224	185233
946	43269	185186
947	43314	185137
948	43369	185132
949	43418	185099
950	43462	185046
951	43509	185005
952	43555	184964
953	43603	184928
954	43649	184883
955	43695	184838
956	43743	184800
957	43789	184757
958	43835	184712
959	43881	184667
960	43926	184619
961	43978	184601
962	44024	184554
963	44069	184506
964	44114	184458
965	44163	184426
966	44189	184298
967	44234	184249
968	44279	184202
969	44325	184156
970	44371	184111
971	44417	184066
972	44462	184020
973	44508	183973
974	44556	183936
975	44601	183888
976	44645	183835
977	44693	183799
978	44740	183759
979	44786	183716
980	44832	183673
981	44877	183624
982	44914	183540
983	44961	183501
984	45008	183459
985	45052	183408
986	45097	183361
987	45142	183312
988	45189	183273
989	45234	183221
990	45279	183173
991	45325	183129
992	45372	183087
993	45418	183043
994	45462	182994
995	45508	182946
996	45554	182901
997	45599	182853
998	45644	182808
999	45690	182761
1000	45739	182729
1001	45785	182684
1002	45829	182634
1003	45875	182588
1004	45920	182539
1005	45967	182499
1006	46012	182450
1007	46056	182399
1008	46102	182352
1009	46150	182317
1010	46196	182272
1011	46240	182222
1012	46285	182173
1013	46331	182129
1014	46377	182084
1015	46422	182034
1016	46468	181988
1017	46514	181944
1018	46562	181907
1019	46608	181863
1020	46651	181809
1021	46698	181766
1022	46743	181720
1023	46789	181675
1024	46835	181631
1025	46880	181582
1026	46926	181538
1027	46972	181493
1028	47018	181448
1029	47063	181400
1030	47109	181354
1031	47154	181308
1032	47185	181206
1033	47231	181161
1034	47276	181113
1035	47322	181066
1036	47367	181021
1037	47413	180973
1038	47458	180926
1039	47502	180876
1040	47549	180835
1041	47595	180789
1042	47640	180741
1043	47684	180690
1044	47733	180657
1045	47783	180625
1046	47829	180584
1047	47875	180538
1048	47920	180489
1049	47967	180449
1050	48012	180400
1051	48056	180350
1052	48101	180301
1053	48149	180264
1054	48194	180217
1055	48239	180167
1056	48285	180123
1057	48330	180074
1058	48376	180030
1059	48421	179981
1060	48466	179933
1061	48513	179891
1062	48559	179847
1063	48604	179800
1064	48649	179753
1065	48694	179704
1066	48742	179665
1067	48787	179617
1068	48833	179575
1069	48878	179525
1070	48925	179484
1071	48971	179442
1072	49017	179395
1073	49063	179350
1074	49108	179303
1075	49155	179262
1076	49201	179216
1077	49247	179172
1078	49293	179127
1079	49340	179086
1080	49386	179043
1081	49431	178996
1082	49477	178950
1083	49522	178900
1084	49568	178858
1085	49613	178811
1086	49657	178759
1087	49703	178715
1088	49753	178682
1089	49798	178634
1090	49844	178591
1091	49889	178543
1092	49935	178496
1093	49987	178475
1094	50035	178436
1095	50093	178434
1096	50140	178394
1097	50187	178354
1098	50236	178317
1099	50283	178277
1100	50331	178239
1101	50378	178199
1102	50425	178158
1103	50472	178117
1104	50524	178093
1105	50576	178069
1106	50624	178030
1107	50674	178000
1108	50722	177964
1109	50772	177931
1110	50818	177888
1111	50865	177847
1112	50912	177806
1113	50961	177769
1114	51008	177730
1115	51054	177685
1116	51092	177610
1117	51138	177565
1118	51184	177520
1119	51205	177390
1120	51251	177345
1121	51297	177300
1122	51344	177258
1123	51374	177160
1124	51420	177113
1125	51466	177069
1126	51510	177020
1127	51557	176979
1128	51602	176930
1129	51648	176884
1130	51694	176841
1131	51743	176804
1132	51789	176761
1133	51835	176714
1134	51879	176666
1135	51927	176625
1136	51972	176579
1137	52019	176535
1138	52064	176487
1139	52111	176448
1140	52158	176407
1141	52203	176359
1142	52251	176320
1143	52297	176275
1144	52344	176233
1145	52388	176184
1146	52433	176135
1147	52479	176088
1148	52527	176050
1149	52574	176009
1150	52619	175961
1151	52664	175915
1152	52710	175869
1153	52758	175829
1154	52803	175781
1155	52847	175732
1156	52894	175689
1157	52941	175647
1158	52988	175606
1159	53033	175560
1160	53078	175512
1161	53125	175469
1162	53170	175419
1163	53215	175373
1164	53262	175330
1165	53309	175289
1166	53356	175248
1167	53403	175206
1168	53449	175161
1169	53494	175114
1170	53541	175074
1171	53587	175027
1172	53634	174985
1173	53681	174944
1174	53727	174900
1175	53774	174859
1176	53821	174815
1177	53866	174767
1178	53912	174724
1179	53958	174678
1180	54003	174630
1181	54048	174583
1182	54095	174542
1183	54121	174433
1184	54166	174382
1185	54211	174336
1186	54258	174293
1187	54303	174248
1188	54350	174204
1189	54395	174158
1190	54440	174110
1191	54487	174067
1192	54534	174024
1193	54579	173978
1194	54624	173931
1195	54669	173881
1196	54716	173841
1197	54762	173795
1198	54809	173753
1199	54855	173709
1200	54903	173670
1201	54949	173625
1202	54994	173579
1203	55041	173534
1204	55086	173486
1205	55133	173446
1206	55178	173399
1207	55225	173355
1208	55271	173310
1209	55319	173272
1210	55364	173223
1211	55409	173178
1212	55455	173133
1213	55502	173090
1214	55548	173046
1215	55593	172998
1216	55638	172949
1217	55685	172907
1218	55730	172861
1219	55776	172815
1220	55824	172777
1221	55869	172729
1222	55916	172686
1223	55961	172638
1224	56006	172592
1225	56051	172542
1226	56097	172499
1227	56143	172454
1228	56189	172409
1229	56234	172361
1230	56281	172319
1231	56328	172277
1232	56374	172231
1233	56418	172182
1234	56465	172138
1235	56512	172098
1236	56557	172050
1237	56602	172001
1238	56647	171952
1239	56694	171913
1240	56741	171870
1241	56786	171822
1242	56832	171777
1243	56879	171735
1244	56926	171694
1245	56972	171648
1246	57017	171602
1247	57063	171557
1248	57110	171515
1249	57131	171395
1250	57175	171343
1251	57219	171293
1252	57266	171250
1253	57314	171211
1254	57360	171166
1255	57405	171118
1256	57449	171070
1257	57496	171025
1258	57541	170979
1259	57585	170929
1260	57630	170881
1261	57677	170838
1262	57725	170798
1263	57770	170751
1264	57817	170710
1265	57864	170666
1266	57909	170619
1267	57954	170572
1268	57989	170496
1269	58034	170447
